created	start_time	processid	appname	category	title

2019/08/21 05:43:38	2019/08/21 05:42	10668	microsoft edge	browser	All Habits – Habitify Web ‎- Microsoft Edge
2019/08/21 05:43:44	2019/08/21 05:42	10668	microsoft edge	browser	New tab and 1 more page ‎- Microsoft Edge
2019/08/21 05:43:50	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:43:56	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:44:02	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:44:08	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:44:14	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:44:20	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:44:26	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:44:32	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:44:38	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:44:44	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:44:50	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:44:56	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:45:02	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:45:08	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:45:14	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:45:20	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:45:26	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:45:32	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:45:38	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:45:45	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:45:51	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:45:57	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:46:03	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:46:09	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:46:15	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:46:21	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:46:27	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:46:33	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:46:39	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:46:45	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:46:51	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:46:57	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:47:03	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:47:09	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:47:15	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:47:21	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:47:27	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:47:33	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:47:39	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:47:45	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:47:51	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:47:57	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:48:03	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:48:09	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:48:16	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:48:22	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:48:28	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:48:34	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:48:40	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:48:46	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:48:52	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:48:58	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:49:04	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:49:10	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:49:16	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:49:22	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:49:28	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:49:34	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
2019/08/21 05:49:40	2019/08/21 05:42	10668	microsoft edge	browser	Write In Private: Free Online Diary And Personal Journal | Penzu and 1 more page ‎- Microsoft Edge
