"created"	"state"	"total"	"total_char"	"active_rate"	"processid"	"app_name"	"category"	"title"	"file_name"
"2019/08/31 05:03"	"BROWSING"	"10"	"0"	"0.6"	"8940"	"sourcetree"	"develop"	"Sourcetree"	""
"2019/08/31 05:04"	"filer"	"5"	"2"	"0.9"	"10140"	"explorer"	"filer"	"explorer"	""
"2019/08/31 05:05"	"editor"	"23"	"10"	"0.7"	"1380"	"sakura"	"editor"	"マイドキュメント\WindowsPowerShell\write-memo.ps1 - sakura 2.2.0.1  "	"memo.ps1"
"2019/08/31 05:06"	"editor"	"35"	"9"	"0.6"	"972"	"sakura"	"editor"	"マイドキュメント\WindowsPowerShell\write-review.ps1 - sakura 2.2.0.1  "	"review.ps1"
"2019/08/31 05:07"	"editor"	"21"	"10"	"0.6"	"972"	"sakura"	"editor"	"マイドキュメント\WindowsPowerShell\write-review.ps1 - sakura 2.2.0.1  "	"review.ps1"
"2019/08/31 05:08"	"filer"	"44"	"30"	"0.5"	"10140"	"explorer"	"filer"	"explorer"	""
"2019/08/31 05:09"	"filer"	"24"	"10"	"0.8"	"10140"	"explorer"	"filer"	"explorer"	""
"2019/08/31 05:10"	"filer"	"9"	"3"	"1"	"10140"	"explorer"	"filer"	"explorer"	""
"2019/08/31 05:11"	"BROWSING"	"14"	"0"	"1"	"10140"	"explorer"	"filer"	"explorer"	""
"2019/08/31 05:12"	"editor"	"67"	"58"	"0.8"	"15608"	"sakura"	"editor"	"マイドキュメント\WindowsPowerShell\open-powershellFolder.ps1 - sakura 2.2.0.1  "	"powershellFolder.ps1"
"2019/08/31 05:13"	"editor"	"63"	"41"	"1"	"15608"	"sakura"	"editor"	"マイドキュメント\WindowsPowerShell\open-powershellFolder.ps1 - sakura 2.2.0.1  "	"powershellFolder.ps1"
"2019/08/31 05:14"	"editor"	"49"	"19"	"0.5"	"15608"	"sakura"	"editor"	"マイドキュメント\WindowsPowerShell\open-powershellFolder.ps1 - sakura 2.2.0.1  "	"powershellFolder.ps1"
"2019/08/31 05:15"	"filer"	"45"	"13"	"0.5"	"10140"	"explorer"	"filer"	"explorer"	""
"2019/08/31 05:16"	"filer"	"53"	"36"	"0.3"	"10140"	"explorer"	"filer"	"explorer"	""
"2019/08/31 05:17"	"NO_OPERATING"	"0"	"0"	"0.8"	"10140"	"explorer"	"filer"	"explorer"	""
"2019/08/31 05:18"	"BROWSING"	"2"	"0"	"0.6"	"10140"	"explorer"	"filer"	"explorer"	""
"2019/08/31 05:19"	"browser"	"14"	"9"	"0.9"	"15676"	"microsoft edge"	"browser"	"Amazon.co.jp: ポモドーロ ‎- Microsoft Edge"	""
"2019/08/31 05:20"	"NO_OPERATING"	"0"	"0"	"1"	"15676"	"microsoft edge"	"browser"	"Amazon.co.jp: ポモドーロ ‎- Microsoft Edge"	""
"2019/08/31 05:21"	"NO_OPERATING"	"0"	"0"	"0.9"	"15676"	"microsoft edge"	"browser"	"Amazon.co.jp: ポモドーロ ‎- Microsoft Edge"	""
"2019/08/31 05:22"	"NO_OPERATING"	"0"	"0"	"0.8"	"15676"	"microsoft edge"	"browser"	"Amazon.co.jp: ポモドーロ ‎- Microsoft Edge"	""
"2019/08/31 05:23"	"BROWSING"	"6"	"0"	"0.7"	"15676"	"microsoft edge"	"browser"	"どんな仕事も「25分+5分」で結果が出る ポモドーロ・テクニック入門 | フランチェスコ・シリロ, 斉藤裕一 |本 | 通販 | Amazon ‎- Microsoft Edge"	""
"2019/08/31 05:24"	"BROWSING"	"3"	"0"	"0.9"	"15676"	"microsoft edge"	"browser"	"どんな仕事も「25分+5分」で結果が出る ポモドーロ・テクニック入門 | フランチェスコ・シリロ, 斉藤裕一 |本 | 通販 | Amazon ‎- Microsoft Edge"	""
"2019/08/31 05:25"	"browser"	"14"	"3"	"0.5"	"15676"	"microsoft edge"	"browser"	"どんな仕事も「25分+5分」で結果が出る ポモドーロ・テクニック入門 | フランチェスコ・シリロ, 斉藤裕一 |本 | 通販 | Amazon ‎- Microsoft Edge"	""
"2019/08/31 05:26"	"editor"	"121"	"81"	"1"	"10480"	"sakura"	"editor"	"マイドキュメント\memo\review190831.md - sakura 2.2.0.1  "	"review190831.md"
"2019/08/31 05:27"	"editor"	"63"	"29"	"1"	"10480"	"sakura"	"editor"	"マイドキュメント\memo\review190831.md - sakura 2.2.0.1  "	"review190831.md"
"2019/08/31 05:28"	"browser"	"48"	"8"	"0.3"	"15676"	"microsoft edge"	"browser"	"どんな仕事も「25分+5分」で結果が出る ポモドーロ・テクニック入門 | フランチェスコ・シリロ, 斉藤裕一 |本 | 通販 | Amazon ‎- Microsoft Edge"	""
"2019/08/31 05:29"	"editor"	"58"	"26"	"0.8"	"9744"	"sakura"	"editor"	"マイドキュメント\WindowsPowerShell\open-memodir.ps1 - sakura 2.2.0.1  "	"memodir.ps1"
"2019/08/31 05:30"	"terminal"	"51"	"26"	"0.7"	"9600"	"powershell"	"terminal"	"Anaconda Powershell Prompt (Anaconda3)"	""
"2019/08/31 05:31"	"NO_OPERATING"	"0"	"0"	"1"	"9600"	"powershell"	"terminal"	"Anaconda Powershell Prompt (Anaconda3)"	""
"2019/08/31 05:32"	"NO_OPERATING"	"0"	"0"	"1"	"9600"	"powershell"	"terminal"	"Anaconda Powershell Prompt (Anaconda3)"	""
"2019/08/31 05:33"	"editor"	"22"	"17"	"0.7"	"8972"	"sakura"	"editor"	"マイドキュメント\memo\review_190831.md - sakura 2.2.0.1  "	"review_190831.md"
"2019/08/31 05:34"	"editor"	"41"	"24"	"1"	"8972"	"sakura"	"editor"	"マイドキュメント\memo\review_190831.md - sakura 2.2.0.1  "	"review_190831.md"
"2019/08/31 05:35"	"editor"	"91"	"62"	"1"	"8972"	"sakura"	"editor"	"マイドキュメント\memo\review_190831.md - sakura 2.2.0.1  "	"review_190831.md"
"2019/08/31 05:36"	"editor"	"91"	"53"	"0.5"	"8972"	"sakura"	"editor"	"マイドキュメント\memo\review_190831.md - sakura 2.2.0.1  "	"review_190831.md"
"2019/08/31 05:37"	"BROWSING"	"11"	"0"	"0.6"	"8896"	"slack"	"chat"	"Slack | sse19 | smartse-2019"	""
"2019/08/31 05:38"	"chat"	"56"	"30"	"1"	"8896"	"slack"	"chat"	"Slack | sse19 | smartse-2019"	""
"2019/08/31 05:39"	"chat"	"6"	"1"	"1"	"8896"	"slack"	"chat"	"Slack | sse19 | smartse-2019"	""
"2019/08/31 05:40"	"NO_OPERATING"	"0"	"0"	"1"	"8896"	"slack"	"chat"	"Slack | sse19 | smartse-2019"	""
"2019/08/31 05:41"	"BROWSING"	"4"	"0"	"0.7"	"15676"	"microsoft edge"	"browser"	"どんな仕事も「25分+5分」で結果が出る ポモドーロ・テクニック入門 | フランチェスコ・シリロ, 斉藤裕一 |本 | 通販 | Amazon ‎- Microsoft Edge"	""
"2019/08/31 05:42"	"NO_OPERATING"	"0"	"0"	"1"	"15676"	"microsoft edge"	"browser"	"どんな仕事も「25分+5分」で結果が出る ポモドーロ・テクニック入門 | フランチェスコ・シリロ, 斉藤裕一 |本 | 通販 | Amazon ‎- Microsoft Edge"	""
"2019/08/31 05:43"	"NO_OPERATING"	"0"	"0"	"0.5"	"8972"	"sakura"	"editor"	"マイドキュメント\memo\review_190831.md - sakura 2.2.0.1  "	"review_190831.md"
"2019/08/31 05:44"	"editor"	"170"	"134"	"1"	"8972"	"sakura"	"editor"	"マイドキュメント\memo\review_190831.md - sakura 2.2.0.1  "	"review_190831.md"
"2019/08/31 05:45"	"editor"	"100"	"79"	"1"	"8972"	"sakura"	"editor"	"マイドキュメント\memo\review_190831.md - sakura 2.2.0.1  "	"review_190831.md"
"2019/08/31 05:46"	"NO_OPERATING"	"0"	"0"	"1"	"8972"	"sakura"	"editor"	"マイドキュメント\memo\review_190831.md - sakura 2.2.0.1  "	"review_190831.md"
"2019/08/31 05:47"	"NO_OPERATING"	"0"	"0"	"1"	"8972"	"sakura"	"editor"	"マイドキュメント\memo\review_190831.md - sakura 2.2.0.1  "	"review_190831.md"
"2019/08/31 05:48"	"BROWSING"	"4"	"0"	"0.7"	"15868"	"pomodoneapp"	"logging"	"PomoDoneApp"	""
"2019/08/31 05:49"	"BROWSING"	"7"	"0"	"1"	"15868"	"pomodoneapp"	"logging"	"PomoDoneApp"	""
"2019/08/31 05:50"	"BROWSING"	"14"	"0"	"1"	"15868"	"pomodoneapp"	"logging"	"PomoDoneApp"	""
"2019/08/31 05:51"	"logging"	"90"	"70"	"1"	"15868"	"pomodoneapp"	"logging"	"PomoDoneApp"	""
